 
spinetum | spinetum, i n
spinicaudatus | spinicaudatus, a, um биолог.
spiniformis | spiniformis, e биолог.
spinocerebellaris | spinocerebellaris, e анат.
spinosus | I spinosus, a, um анат.
spinothalamicus | spinothalamicus, a, um анат.
spinula | spinula, ae f
spinus | spinus, i f
spira | spira, ae f
spirabilis | spirabilis, e поэт.
spiraculum | spiraculum, i n
spiramentum | spiramentum, i n
Spiramycinum | Spiramycin(um, i n
Spirazidinum | Spirazidin(um, i n
spiritus | spiritus, us m
spiro | spiro, avi, atum, are поэт.
Spirocidum | Spirocid(um, i n
Spironolactonum | Spironolacton(um, i n
Spironovanum | Spironovan(um, i n
splanchnicus | splanchnicus, a, um анат.
splanchnocranium | splanchnocranium, i n
splanclinologia | splanclinologia, ae f
splen | splen, splenis m
splendide | splendide adv.
splendor | splendor, oris m
splenectomia | splenectomia, ae f
Spleninum | Splenin(um, i n
splenium | splenium, i n
splenius | splenius, a, um анат.
splenomegalia | splenomegalia, ae f
splenoptosis | splenoptosis, is f
splenorenalis | splenorenalis, e мед.
Spofadazinum | Spofadazin(um, i n
spoliatio | spoliatio, onis f
spoliator | spoliator, oris m
spoliatrix | I spoliatrix, icis f
spolium | spolium, i n
sponda | sponda, ae f
spondeus | spondeus (spondius), i m
spondius | spondius, i m
spondylitis | spondylitis, idis f
spondyloarthritis | spondyloarthritis, idis f
spondylopathia | spondylopathia, ae f
spondylos | spondylos, i m
spondylosis | spondylosis, is f
spongea | spongea, ae f
spongia | spongia (spongea), ae f
spongiosus | spongiosus, a, um анат.
sponsa | sponsa, ae f
sponsalia | sponsalia, ium (orum) n
sponsio | sponsio, onis f
sponsor | sponsor, oris m
sponsum | sponsum, i n
sponsus | sponsus, i m
sponte | sponte abl.
sporangium | sporangium, i n
sporoderma | sporoderma, atis n
sporogenus | sporogenus, a, um биолог.
sporogonia | sporogonia, ae f
sporta | sporta, ae f
Spredinum | Spredin(um, i n
spretor | spretor, oris m
spuma | spuma, ae f
spumo | spumo, avi, atum, are поэт.
spurce | spurce adv.
spuria | spuria, ae f
spurius | I spurius, a, um анат.
sputum | sputum, i n
squalor | squalor, oris m
squalus | squalus, i m
squama | squama, ae f
squamiformis | squamiformis, e биолог.
squilla | squilla, ae f
