 
pharynx | pharynx, yngis m
phaselus | phaselus (phaselos), i m
Phasis | Phasis, idis (idos) m
Phenacetinum | Phenacetinum, i n
Phenaconum | Phenaconum, i n
Phenadonum | Phenadonum, i n
Phenalginum | Phenalginum, i n
Phenaloinum | Phenaloinum, i n
Phenasalum | Phenasalum, i n
Phenatinum | Phenatinum, i n
Phenazonum | Phenazonum, i n
Phenedinum | Phenedinum, i n
Phenemalum | Phenemalum, i n
Phenerganum | Phenerganum, i n
Phenetamidum | Phenetamidum, i n
Phenforminum | Phenforminum, i n
Phenindaminum | Phenindaminum, i n
Phenindionum | Phenindionum, i n
Pheninum | Pheninum, i n
Pheniodolum | Pheniodolum, i n
Phenmetralinum | Phenmetralinum, i n
Phenmetrazinum | Phenmetrazinum, i n
Phenobarbitalum | Phenobarbitalum, i n
Phenobarbitonum | Phenobarbitonum, i n
Phenobolinum | Phenobolinum, i n
Phenocillinum | Phenocillinum, i n
Phenolphthaleinum | Phenolphthaleinum, i n
Phenolum | Phenolum, i n
Phenophanum | Phenophanum, i n
Phenopyrinum | Phenopyrinum, i n
Phenoquinum | Phenoquinum, i n
Phenoxazolum | Phenoxazolum, i n
Phenoxymethylpenicillinum | Phenoxymethylpenicillinum, i n
Phentanylum | Phentanylum, i n
Phentolaminum | Phentolaminum, i n
Phenylbutazonum | Phenylbutazonum, i n
Phenylephrinum | Phenylephrinum, i n
Phenylindandionum | Phenylindandionum, i n
Phenylinum | Phenylinum, i n
Phenylonum | Phenylonum, i n
Phenytoinum | Phenytoinum, i n
Phepranonum | Phepranonum, i n
Phethanolum | Phethanolum, i n
Phidias | Phidias, ae m
Philemon | Philemo(n), monis m
Philippi | Philippi, orum m
Philippus | Philippus, i m
philitia | philitia, orum n
Philoctetes | Philoctetes, ae m
Philodormum | Philodormum, i n
philologia | philologia, ae f
philologus | philologus, i m
Philopotamus | Philopotamus, i m
philosopha | philosopha, ae f
philosophe | philosophe adv.
philosophia | philosophia, ae f
philosophus | I philosophus, a, um m
philtrum | I philtrum, i n
philura | philura, ae f
philyra | philyra (philura), ae f
phimus | phimus, i m
phlebogramma | phlebogramma, atis n
phlebographia | phlebographia, ae f
phlebolithus | phlebolithus, i m
phlebolysis | phlebolysis, is f
phlebotomia | phlebotomia, ae f
phlebs | phlebs, phlebos n
phlegmone | phlegmone, es f
